state_mode,model,case,phase,batch,tokens,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_D_prime,speedup_vs_D,bank_stall_cycles,matrix_sram_service_cycles,physical_hbm_read_bytes,physical_hbm_write_bytes
official_fp32_streamed,kimi_k3,decode_b4_t1,decode,4,1,C_multirow_original_fixed,181489812,181489.812,1.1367911494668361,0.9859817585793741,0.9906565333816093,0.985984800072414,2543616,3391488,216510309248,1823272960
official_fp32_streamed,kimi_k3,decode_b4_t1,decode,4,1,D_prime_best_global_fixed,179794068,179794.068,1.1475128979227502,0.9952811346367668,1.0,0.9952842048159231,847872,1695744,216510309248,1823272960
official_fp32_streamed,kimi_k3,decode_b4_t1,decode,4,1,D_compiler_per_tile_affine,178946196,178946.196,1.1529499738569464,0.9999969152739072,1.0047381392784678,1.0,0,847872,216510309248,1823272960
official_fp32_streamed,kimi_k3,decode_b4_t1,decode,4,1,E_affine_plus_matrix_overlap,177833364,177833.364,1.160164815866611,1.0062546193525306,1.0110255126254037,1.0062577233819858,0,847872,216510309248,1823272960
official_fp32_streamed,kimi_k3,decode_b8_t1,decode,8,1,A_original_fixed,341389744,341389.744,1.0,0.8396532498058875,0.8446236627424871,0.8396564836464449,0,0,321884815104,3646545920
official_fp32_streamed,kimi_k3,decode_b8_t1,decode,8,1,B_arlo_static,286649008,286649.008,1.1909678194316304,1.0,1.0059196018567766,1.000003851400037,0,0,321884815104,3646545920
official_fp32_streamed,kimi_k3,decode_b8_t1,decode,8,1,C_multirow_original_fixed,291737344,291737.344,1.1701955578234098,0.9825585030348395,0.9883748581737962,0.9825622872606943,5087232,6782976,321884815104,3646545920
official_fp32_streamed,kimi_k3,decode_b8_t1,decode,8,1,D_prime_best_global_fixed,288345856,288345.856,1.1839592520448776,0.9941152336172294,1.0,0.9941190623526769,1695744,3391488,321884815104,3646545920
official_fp32_streamed,kimi_k3,decode_b8_t1,decode,8,1,D_compiler_per_tile_affine,286650112,286650.112,1.1909632325557926,0.9999961486147962,1.005915727672906,1.0,0,1695744,321884815104,3646545920
official_fp32_streamed,kimi_k3,decode_b8_t1,decode,8,1,E_affine_plus_matrix_overlap,284424448,284424.448,1.2002826986237132,1.0078212685851815,1.0137871692379974,1.0078251501080526,0,1695744,321884815104,3646545920
official_fp32_streamed,kimi_k3,decode_b16_t1,decode,16,1,A_original_fixed,611536910,611536.91,1.0,0.8209732393748728,0.8265226934544311,0.8209768499500709,0,0,532633826816,7293091840
official_fp32_streamed,kimi_k3,decode_b16_t1,decode,16,1,B_arlo_static,502055438,502055.438,1.2180664996601431,1.0,1.0067596041057123,1.0000043979206934,0,0,532633826816,7293091840
