benchmark,mode,batch_size,generation_limit,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_prompt_length,warmup,measurements,request_measurement_count,generated_tokens_total,ttft_ms_median,ttft_ms_p95,itl_ms_median,itl_ms_p95,tpot_ms_median,tpot_ms_p95,e2e_ms_median,e2e_ms_p95,batch_throughput_tokens_per_s_median,batch_throughput_tokens_per_s_p95,gpu_memory_used_peak_bytes,batch_energy_joules_median,batch_energy_joules_p95,batch_tokens_per_joule_median,power_status
swebench_verified,batch_sweep,1,32,2,"[""swebench_verified:astropy__astropy-14539""]",609,609,609,5,20,20,640,81.196067,82.6278503,4.4511065,4.70923655,4.480489,4.501496762903225,219.8623005,222.25716105,145.54123175751445,146.96597699860823,67472523264,62.487804609052,77.42138637996892,0.512100565740348,supported
swebench_verified,batch_sweep,1,32,3,"[""swebench_verified:astropy__astropy-14365""]",618,618,618,5,20,20,640,79.5279525,80.9295464,4.440371,4.6226341,4.45756464516129,4.478791683870968,217.1895235,219.5326449,147.332151143286,148.11347715226557,67472523264,61.06897046018949,67.17590520569986,0.523997965184804,supported
swebench_verified,batch_sweep,1,32,4,"[""swebench_verified:astropy__astropy-13236""]",633,633,633,5,20,20,640,80.460781,82.52473845,4.4575625,4.7148482,4.489774693548387,4.541240320967741,219.53101750000002,222.96180685000002,145.76067302257098,147.22220834943025,67472523264,62.04281573210525,92.10237112863892,0.5157846765794669,supported
swebench_verified,batch_sweep,1,32,5,"[""swebench_verified:astropy__astropy-14182""]",708,708,708,5,20,20,640,81.9559265,87.01266935,4.4455975,4.70033255,4.471003112903226,4.527587424193548,220.406733,226.67350770000002,145.181656942553,146.75218887228633,67472523264,61.80518183210475,81.7742199743752,0.5177564618160422,supported
swebench_verified,batch_sweep,1,32,6,"[""swebench_verified:astropy__astropy-13033""]",920,920,920,5,20,20,640,80.465248,83.02765989999999,4.4493605,4.825326099999999,4.4658341129032255,4.6804253612903235,219.1959465,225.444081,145.98310323795442,146.89770733993564,67472523264,63.00746376675251,91.79111992828875,0.5078763833029425,supported
swebench_verified,batch_sweep,1,32,7,"[""swebench_verified:astropy__astropy-14995""]",939,939,939,5,20,20,640,79.944486,81.93045520000001,4.442087,4.7934174,4.46119514516129,4.665489453225806,218.37252949999998,225.36779125,146.53518428206274,147.82610815501698,67472523264,62.97586752335775,97.88818182290893,0.5081314185133459,supported
swebench_verified,batch_sweep,1,32,8,"[""swebench_verified:astropy__astropy-14369""]",982,982,982,5,20,20,640,79.6764955,81.12385965,4.435618,4.5988691,4.452089129032258,4.483599420967742,217.75039800000002,219.15898994999998,146.9531088808831,147.8462561739136,67472523264,63.67022474833101,70.83721834270304,0.5025897278501404,supported
swebench_verified,batch_sweep,1,32,9,"[""swebench_verified:astropy__astropy-14508""]",1050,1050,1050,5,20,20,640,80.1430785,83.94800049999999,4.433305,4.708549,4.455261983870967,4.508070509677419,218.16017599999998,222.8150314,146.67710955475263,147.45839514398577,67472523264,63.94403888668876,92.97221043501752,0.5004376973143712,supported
swebench_verified,batch_sweep,1,32,10,"[""swebench_verified:astropy__astropy-14598""]",1125,1125,1125,5,20,20,640,81.74944049999999,85.89569435,4.4405095,4.780069049999999,4.482944225806452,4.51301706451613,221.07250850000003,226.1067407,144.7449310956138,147.13973935403502,67472523264,64.7726626658185,70.87481921675587,0.49403620577084717,supported
swebench_verified,batch_sweep,1,32,11,"[""swebench_verified:astropy__astropy-13977""]",1168,1168,1168,5,20,20,640,80.15221500000001,84.09681470000001,4.4334255,4.64804265,4.4558920967741935,4.517800217741936,218.5793385,223.39624325,146.39560242792382,147.8004784090094,67472523264,63.46049242058375,85.76337060504164,0.5042507839420141,supported
swebench_verified,batch_sweep,1,32,12,"[""swebench_verified:astropy__astropy-13398""]",1531,1531,1531,5,20,20,640,80.38535350000001,82.136942,4.4348605,4.7111113499999995,4.459467370967742,4.544529553225807,218.572314,223.20420385,146.40075949210623,147.35982395849467,67472523264,64.74222828612,90.09990092948928,0.4943005666357364,supported
swebench_verified,batch_sweep,1,32,13,"[""swebench_verified:astropy__astropy-14309""]",1621,1621,1621,5,20,20,640,80.64196849999999,86.15427965,4.428107499999999,4.7376842,4.464950241935483,4.496087124193548,218.930575,225.3015802,146.16068582341916,147.56012035538026,67472523264,64.938658925518,95.95566484861466,0.49277769600331645,supported
swebench_verified,batch_sweep,1,32,14,"[""swebench_verified:astropy__astropy-13579""]",1812,1812,1812,5,20,20,640,80.6086235,83.79081125,4.4282935000000005,4.76726315,4.465252112903226,4.5295217112903225,219.207084,223.7113946,145.9760912883866,147.60791155734128,67472523264,66.0158981503625,78.78124122521392,0.48473872418887015,supported
swebench_verified,batch_sweep,1,32,15,"[""swebench_verified:astropy__astropy-13453""]",2855,2855,2855,5,20,20,640,80.609825,84.2022356,4.426933,4.65535735,4.4487749999999995,4.503297819354838,218.91989999999998,222.3179358,146.16659669538518,146.92698441767547,67472523264,69.34604781274075,84.91878104474176,0.4614802740509949,supported
swebench_verified,batch_sweep,2,32,0,"[""swebench_verified:astropy__astropy-12907"", ""swebench_verified:astropy__astropy-14096""]",387,478,478,5,20,40,1280,79.731471,82.47651314999999,5.068441,5.46827325,5.0985937258064515,5.151234748387096,237.921788,243.37338884999997,268.8595635798878,270.7853053401035,67472523264,71.03040461112926,73.65566742565231,0.9010239710537726,supported
swebench_verified,batch_sweep,2,32,1,"[""swebench_verified:astropy__astropy-14365"", ""swebench_verified:astropy__astropy-14539""]",609,618,618,5,20,40,1280,79.656668,81.69210565,5.0522124999999996,5.2379786,5.0651828225806454,5.1019170435483865,236.7784095,238.93119135,270.17861351374586,273.0726162593082,67472523264,71.74419416662951,79.23003712121857,0.8920585288233223,supported
swebench_verified,batch_sweep,2,32,2,"[""swebench_verified:astropy__astropy-13236"", ""swebench_verified:astropy__astropy-14182""]",633,708,708,5,20,40,1280,80.053765,83.11649664999999,5.075208,5.2891020499999994,5.089523774193548,5.13549980483871,238.249169,241.53980405,268.53520788844867,271.1705508170414,67472523264,73.5221586660825,89.57136564593732,0.8704868589544281,supported
swebench_verified,batch_sweep,2,32,3,"[""swebench_verified:astropy__astropy-13033"", ""swebench_verified:astropy__astropy-14995""]",920,939,939,5,20,40,1280,80.4321935,83.51943375,5.0700769999999995,5.25731975,5.085273274193549,5.129154848387096,237.9506445,241.1919835,268.86428092269637,272.3714032360355,67472523264,74.588811167547,77.14810383630515,0.858038883882013,supported
swebench_verified,batch_sweep,2,32,4,"[""swebench_verified:astropy__astropy-14369"", ""swebench_verified:astropy__astropy-14508""]",982,1050,1050,5,20,40,1280,81.0319475,82.68596215000001,5.1044775,5.299638699999999,5.121654161290323,5.150691751612904,239.55707,240.96431145,267.05924166428554,268.17838534558376,67472523264,75.665558912298,82.20788174110872,0.8458301142116762,supported
swebench_verified,batch_sweep,2,32,5,"[""swebench_verified:astropy__astropy-13977"", ""swebench_verified:astropy__astropy-14598""]",1125,1168,1168,5,20,40,1280,81.41182699999999,85.2773376,5.108203,5.36436465,5.125582951612904,5.2323937919354835,240.02806650000002,245.3528127,266.54237884824477,268.0166532316844,67472523264,76.5486104268445,82.84070613310168,0.8360779368080523,supported
swebench_verified,batch_sweep,2,32,6,"[""swebench_verified:astropy__astropy-13398"", ""swebench_verified:astropy__astropy-14309""]",1531,1621,1621,5,20,40,1280,81.0222355,83.18605559999999,5.0985534999999995,5.284712,5.10807314516129,5.170498246774193,239.5609065,242.2257793,267.0565792457919,268.9263438688291,67472523264,79.760464828299,85.71016437209235,0.8024060289754498,supported
swebench_verified,batch_sweep,2,32,7,"[""swebench_verified:astropy__astropy-13453"", ""swebench_verified:astropy__astropy-13579""]",1812,2855,2855,5,20,40,1280,81.431865,84.14982805,5.0981365,5.321153599999999,5.117926032258064,5.137111225806452,239.913992,242.82528274999999,266.6643219927646,269.31374729857095,67472523264,85.6744550453875,103.71177635596702,0.7470140950537341,supported
swebench_verified,batch_sweep,4,32,0,"[""swebench_verified:astropy__astropy-12907"", ""swebench_verified:astropy__astropy-14096"", ""swebench_verified:astropy__astropy-14365"", ""swebench_verified:astropy__astropy-14539""]",387,618,618,5,20,80,2560,81.9478705,87.7344082,5.603177499999999,5.884261,5.586777354838709,5.664184972580645,255.2370145,262.50924195,501.1356487830613,507.74734855782503,69567578112,83.9172638039865,99.05013078633004,1.5253120863246674,supported
swebench_verified,batch_sweep,4,32,1,"[""swebench_verified:astropy__astropy-13033"", ""swebench_verified:astropy__astropy-13236"", ""swebench_verified:astropy__astropy-14182"", ""swebench_verified:astropy__astropy-14995""]",633,939,939,5,20,80,2560,83.8055065,87.9516632,5.6430655000000005,5.887348400000001,5.637896629032259,5.684700169354839,258.9090635,262.62647905,493.98465101216823,499.35696632259305,69567578112,85.34698761756977,112.01813054944405,1.499763268282151,supported
swebench_verified,batch_sweep,4,32,2,"[""swebench_verified:astropy__astropy-13977"", ""swebench_verified:astropy__astropy-14369"", ""swebench_verified:astropy__astropy-14508"", ""swebench_verified:astropy__astropy-14598""]",982,1168,1168,5,20,80,2560,84.1774115,87.92787059999999,5.665452999999999,5.952999250000001,5.654044,5.70537360483871,259.44604449999997,264.64343465,492.9194188536308,499.24952941278184,69567578112,90.4769748403485,127.57088035879117,1.414724578995656,supported
swebench_verified,batch_sweep,4,32,3,"[""swebench_verified:astropy__astropy-13398"", ""swebench_verified:astropy__astropy-13453"", ""swebench_verified:astropy__astropy-13579"", ""swebench_verified:astropy__astropy-14309""]",1531,2855,2855,5,20,80,2560,82.693358,85.2534635,5.64124,5.918842199999999,5.626536306451612,5.674065674193549,256.976281,260.23106094999997,497.8101190810627,499.97711426895205,69567578112,105.37638534623149,118.84856627274709,1.2147479341558267,supported
swebench_verified,batch_sweep,8,32,0,"[""swebench_verified:astropy__astropy-12907"", ""swebench_verified:astropy__astropy-13033"", ""swebench_verified:astropy__astropy-13236"", ""swebench_verified:astropy__astropy-14096"", ""swebench_verified:astropy__astropy-14182"", ""swebench_verified:astropy__astropy-14365"", ""swebench_verified:astropy__astropy-14539"", ""swebench_verified:astropy__astropy-14995""]",387,939,939,5,20,160,5120,83.03060550000001,91.6771542,5.7257475,6.0912766000000005,5.673035274193548,5.77333149516129,259.05900499999996,267.5786015500001,987.1317607616022,1033.3477625597225,71763296256,103.7606268602235,138.53263271910907,2.4673611130541495,supported
swebench_verified,batch_sweep,8,32,1,"[""swebench_verified:astropy__astropy-13398"", ""swebench_verified:astropy__astropy-13453"", ""swebench_verified:astropy__astropy-13579"", ""swebench_verified:astropy__astropy-13977"", ""swebench_verified:astropy__astropy-14309"", ""swebench_verified:astropy__astropy-14369"", ""swebench_verified:astropy__astropy-14508"", ""swebench_verified:astropy__astropy-14598""]",982,2855,2855,5,20,160,5120,87.35812999999999,89.78515975,5.775917,6.103432850000001,5.724454,5.80007475,265.0861145,267.9012404,964.5027823947688,971.1349016540889,71763296256,132.52613086409227,179.04192535190083,1.9316992097281815,supported
