state_mode,model,case,phase,batch,tokens,weight_precision,weight_precision_policy,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_C_fixed,speedup_vs_D_phased,bank_stall_cycles,matrix_sram_service_cycles,matrix_sram_ideal_cycles,recurrence_cycles,recurrence_coefficient_prep_cycles,recurrence_coefficient_prep_elementwise_ops,recurrence_coefficient_prep_exp_ops,recurrence_issue_cycles,recurrence_vector_arithmetic_cycles,vector_cycle_share,lcompute_cycle_share,physical_hbm_read_bytes,physical_hbm_write_bytes
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s128,prefill,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,22765583,22765.583,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.17747860882807173,0.0,18974357248,339771392
plena_bf16_matrix_streamed,kimi_k3,decode_b1_t1,decode,1,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,A_original_fixed,103826433,103826.433,1.0,0.9344786505378645,0.897020790457089,0.8782313844876093,0,0,0,13934412,4485,5107104,1702368,13934412,0,0.13499002705794583,0.0,137262374656,238763008
plena_bf16_matrix_streamed,kimi_k3,decode_b1_t1,decode,1,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,B_arlo_static,97023585,97023.585,1.070115405444975,1.0,0.9599157668725599,0.9398089340854597,0,0,0,7131564,4485,5107104,1702368,7131564,0,0.0743395020911668,0.0,137262374656,238763008
plena_bf16_matrix_streamed,kimi_k3,decode_b1_t1,decode,1,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,93134469,93134.469,1.1148013631773646,1.0417580734797554,1.0,0.979053544611931,0,957582,957582,2964240,4485,5107104,1702368,1528488,478170,0.0008710094218715093,0.031827528860448005,137479429888,455818240
plena_bf16_matrix_streamed,kimi_k3,decode_b1_t1,decode,1,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,D_compact_phased_mapping,91183632,91183.632,1.1386520883484879,1.0640460669520162,1.0213945963459758,1.0,0,748926,748926,1291680,4485,5107104,1702368,64584,478170,0.0008896443168659919,0.014165700265152851,137262374656,238763008
plena_bf16_matrix_streamed,kimi_k3,decode_b1_t1,decode,1,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,91183632,91183.632,1.1386520883484879,1.0640460669520162,1.0213945963459758,1.0,0,748926,748926,1291680,4485,5107104,1702368,64584,478170,0.0008896443168659919,0.014165700265152851,137262374656,238763008
plena_bf16_matrix_streamed,kimi_k3,decode_b2_t1,decode,2,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,A_original_fixed,136409445,136409.445,1.0,0.9002584021949507,0.843238200991141,0.8146355334852363,0,0,0,27868824,8625,10214208,3404736,27868824,0,0.20548187114169403,0.0,163388945856,477526016
plena_bf16_matrix_streamed,kimi_k3,decode_b2_t1,decode,2,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,B_arlo_static,122803749,122803.749,1.1107921876228712,1.0,0.936662405966124,0.9048907863553906,0,0,0,14263128,8625,10214208,3404736,14263128,0,0.11745546953945192,0.0,163388945856,477526016
plena_bf16_matrix_streamed,kimi_k3,decode_b2_t1,decode,2,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,115025655,115025.655,1.18590452712484,1.0676205147451672,1.0,0.966079967116901,0,1915164,1915164,5928480,8625,10214208,3404736,3056976,956340,0.0013983315287359156,0.05154050198627428,163823056320,911636480
plena_bf16_matrix_streamed,kimi_k3,decode_b2_t1,decode,2,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,D_compact_phased_mapping,111123981,111123.981,1.2275428199427088,1.105105737707507,1.035110999128082,1.0,0,1497852,1497852,2583360,8625,10214208,3404736,129168,956340,0.0014474283458221317,0.023247547259848438,163388945856,477526016
plena_bf16_matrix_streamed,kimi_k3,decode_b2_t1,decode,2,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,111123981,111123.981,1.2275428199427088,1.105105737707507,1.035110999128082,1.0,0,1497852,1497852,2583360,8625,10214208,3404736,129168,956340,0.0014474283458221317,0.023247547259848438,163388945856,477526016
plena_bf16_matrix_streamed,kimi_k3,decode_b4_t1,decode,4,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,A_original_fixed,201576264,201576.264,1.0,0.865006963319848,0.7878342461987489,0.7491226050305209,0,0,0,55737648,16905,20428416,6809472,55737648,0,0.2781005952169051,0.0,215642088320,955052032
plena_bf16_matrix_streamed,kimi_k3,decode_b4_t1,decode,4,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,B_arlo_static,174364872,174364.872,1.1560600577850337,1.0,0.9107837041855541,0.8660307220596589,0,0,0,28526256,16905,20428416,6809472,28526256,0,0.1654409323914739,0.0,215642088320,955052032
plena_bf16_matrix_streamed,kimi_k3,decode_b4_t1,decode,4,1,mxfp4,kimi_k3_mxfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,158808684,158808.684,1.2693025275620318,1.0979555249006407,1.0,0.9508632160190937,0,3830328,3830328,11856960,16905,20428416,6809472,6113952,1912680,0.0020202358707285804,0.07466191206521175,216510309248,1823272960
