B_cycles,E_cycles,E_stream_speedup_vs_B,F_bank_conflict_stalls,F_cycles,F_speedup_vs_B,G_affine_incremental_speedup_vs_E,G_cycles,G_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,eligible_for_freeze,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,local_projection_packet_speedup_upper_bound,local_state_packet_speedup_upper_bound,model,point
68707460,67046492,1.0247733766592888,0,67234908,1.021901599091948,1.0,67046492,1.0247733766592888,33161216,100360796,1.4887775014453013,67411548,0,1507328,0.9945846667102201,67223132,1.0220806135602252,True,16,4,16,4,1000,2,0,64,64,1024,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,hbm_1024
2319184680,2301117720,1.0078513845002246,0,2301329688,1.0077585545839445,1.0,2301117720,1.0078513845002246,298450944,2600734488,1.129424605855712,2302707480,0,13565952,0.9993096126999161,2302495512,1.0072482955614985,True,16,4,16,4,1000,2,0,64,64,1024,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,hbm_1024
64711226,63050258,1.0263435559613412,0,63238674,1.0232856242368396,1.0,63050258,1.0263435559613412,33161216,96364562,1.5195787251010064,63415314,0,1507328,0.994243409407387,63226898,1.0234762110265159,True,16,4,16,4,1000,2,0,64,64,1560,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,hbm_1560
2134059768,2115992808,1.0085382898900666,0,2116204776,1.0084372704392763,1.0,2115992808,1.0085382898900666,298450944,2415609576,1.140739262073487,2117582568,0,13565952,0.9992492571368768,2117370600,1.0078820249983635,True,16,4,16,4,1000,2,0,64,64,1560,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,hbm_1560
62891236,61230268,1.0271265838653523,0,61418684,1.0239756358179215,1.0,61230268,1.0271265838653523,33161216,94544572,1.534930995735975,61595324,0,1507328,0.9940733163445978,61406908,1.0241720035797928,True,16,4,16,4,1000,2,0,64,64,2048,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,hbm_2048
2049779760,2031712800,1.0088924773225822,0,2031924768,1.0087872308469248,1.0,2031712800,1.0088924773225822,298450944,2331329568,1.14657287796854,2033302560,0,13565952,0.9992181389866543,2033090592,1.0082087675117233,True,16,4,16,4,1000,2,0,64,64,2048,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,hbm_2048
59983806,58322838,1.028478861059539,0,58511254,1.0251669875337144,1.0,58322838,1.028478861059539,33161216,91637142,1.5614317664900363,58687894,0,1507328,0.9937797052318831,58499478,1.0253733546135233,True,16,4,16,4,1000,2,0,64,64,4096,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,hbm_4096
1915078276,1897011316,1.009523907341837,0,1897223284,1.0094111178955993,1.0,1897011316,1.009523907341837,298450944,2196628084,1.156971894605626,1898601076,0,13565952,0.9991626677030283,1898389108,1.008791226166264,True,16,4,16,4,1000,2,0,64,64,4096,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,hbm_4096
80055832,78394864,1.0211872043046086,0,78583280,1.0187387444250227,1.0,78394864,1.0211872043046086,33161216,111709168,1.4183504503305742,78759920,0,1507328,0.9953649521228564,78571504,1.0188914291369553,True,16,4,16,4,1000,2,25165824,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,explicit_state_tile_24mib
2857762824,2839695864,1.0063622869720108,0,2839907832,1.006287173054988,1.0,2839695864,1.0063622869720108,298450944,3139312632,1.1048916045196588,2841285624,0,13565952,0.9994404786387643,2841073656,1.0058742468590192,True,16,4,16,4,1000,2,25165824,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,explicit_state_tile_24mib
79953048,78292080,1.0212150194502432,0,78480496,1.0187632861035945,1.0,78292080,1.0212150194502432,33161216,111606384,1.4188971233328405,78657136,0,1507328,0.9953588953454904,78468720,1.0189161744960284,True,16,4,16,4,1000,2,33554432,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,explicit_state_tile_32mib
2857608456,2839541496,1.0063626328495112,0,2839753464,1.006287514823505,1.0,2839541496,1.0063626328495112,298450944,3139158264,1.1048973036253134,2841131256,0,13565952,0.9994404482381295,2840919288,1.0058745660499737,True,16,4,16,4,1000,2,33554432,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,explicit_state_tile_32mib
79773176,78112208,1.0212638720953835,0,78300624,1.0188063890780743,1.0,78112208,1.0212638720953835,33161216,111426512,1.419857246807177,78477264,0,1507328,0.995348257808784,78288848,1.018959635221609,True,16,4,16,4,1000,2,50331648,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,explicit_state_tile_48mib
2857454088,2839387128,1.0063629787646202,0,2839599096,1.006287856629181,1.0,2839387128,1.0063629787646202,298450944,3139003896,1.104903003350304,2840976888,0,13565952,0.9994404178341911,2840764920,1.0058748852756179,True,16,4,16,4,1000,2,50331648,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,explicit_state_tile_48mib
79747480,78086512,1.0212708694172432,0,78274928,1.0188125628170492,1.0,78086512,1.0212708694172432,33161216,111400816,1.419994766707531,78451568,0,1507328,0.9953467341787229,78263152,1.018965860204557,True,16,4,16,4,1000,2,67108864,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,explicit_state_tile_64mib
2857222536,2839155576,1.0063634977078129,0,2839367544,1.006288369407381,1.0,2839155576,1.0063634977078129,298450944,3138772344,1.1049115540992653,2840745336,0,13565952,0.9994403722220878,2840533368,1.0058753641791403,True,16,4,16,4,1000,2,67108864,64,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,explicit_state_tile_64mib
