bank_conflict_stall_cycles,batch_size,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,1,2858206344,decode_4,0,211968,211968,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""banked_output_sram"": 211968, ""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 72155360}","{""banked_output_sram"": 0, ""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",0.99992583880431,17112,4,D_affine_layout
0,1,2839927416,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 54088400}","{""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",1.0063617682262622,16836,4,E_stream_addressing
0,1,2840139384,decode_4,0,211968,211968,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""banked_output_sram"": 211968, ""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 54088400}","{""banked_output_sram"": 0, ""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",1.006286660471872,17112,4,F_affine_plus_stream
0,1,2839927416,decode_4,0,211968,211968,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""banked_output_sram"": 211968, ""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 54088400}","{""banked_output_sram"": 0, ""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",1.0063617682262622,17112,4,G_affine_stream_overlap
298450944,1,3139544184,decode_4,0,0,0,549917885312,1823272960,kimi_k3,33914880,0,13565952,20348928,332365824,13565952,decode,549917885440,1823272960,"{""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 353705168}","{""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",0.9103214379224676,16836,4,H_packet_row_major
0,1,2841517176,decode_4,0,211968,211968,549917885312,1823272960,kimi_k3,33914880,868220928,13565952,20348928,33914880,13565952,decode,549917885440,1823272960,"{""banked_output_sram"": 211968, ""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 55466192}","{""banked_output_sram"": 0, ""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",1.0057987332046308,17112,4,I_packet_affine
0,1,2841305208,decode_4,0,211968,211968,549917885312,1823272960,kimi_k3,33914880,868220928,13565952,20348928,33914880,13565952,decode,549917885440,1823272960,"{""banked_output_sram"": 211968, ""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 55466192}","{""banked_output_sram"": 0, ""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",1.0058737681376186,17112,4,J_packet_affine_overlap
0,1,56982484996,prefill_s128,0,0,0,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",1.0,4254,128,A_row_gather_static
0,1,56982484996,prefill_s128,0,0,0,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",1.0,4254,128,B_arlo_stride_postincrement
0,1,56982484996,prefill_s128,0,0,0,1557972203520,628391936,kimi_k3,0,0,0,0,0,0,prefill,1557972203520,628391936,"{""hbm"": 3044141788, ""matrix"": 52118005760, ""vector"": 1820337448}","{""hbm"": 97600512, ""matrix"": 0, ""vector"": 0}",1.0,4254,128,C_consumer_major
