B_cycles,E_cycles,E_stream_speedup_vs_B,F_bank_conflict_stalls,F_cycles,F_speedup_vs_B,G_affine_incremental_speedup_vs_E,G_cycles,G_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,eligible_for_freeze,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,local_projection_packet_speedup_upper_bound,local_state_packet_speedup_upper_bound,model,point
578263940,568725380,1.0167718205225869,0,568738628,1.0167481361930633,1.0,568725380,1.0167718205225869,19501056,582450308,1.0344217880253443,563068484,0,423936,1.0100465505719904,563055236,1.027011033780707,True,16,64,32,32,1000,2,0,2048,64,1024,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_1024
10752688,9091720,1.1826901840355841,0,9103496,1.1811602927051321,1.0,9091720,1.1826901840355841,2166784,9927816,1.2733911722906588,7796360,0,47104,1.166149331226367,7784584,1.3812797189933335,True,16,64,32,32,1000,2,0,2048,64,2048,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_2048
308859020,299320460,1.031867383873458,0,299333708,1.0318217151808375,1.0,299320460,1.031867383873458,19501056,313045388,1.0660000979896846,293663564,0,423936,1.019263186494597,293650316,1.0517918870552143,True,16,64,32,32,1000,2,0,2048,64,2048,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_2048
7845258,6184290,1.2685786080536328,0,6196066,1.266167597310939,1.0,6184290,1.2685786080536328,2166784,7020386,1.4359759702020687,4888930,0,47104,1.2649577719460086,4877154,1.6085729505363169,True,16,64,32,32,1000,2,0,2048,64,4096,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_4096
174157536,164618976,1.0579432592266884,0,164632224,1.0578581262438633,1.0,164618976,1.0579432592266884,19501056,178343904,1.1219273426719127,158962080,0,423936,1.035586449296587,158948832,1.0956830182935853,True,16,64,32,32,1000,2,0,2048,64,4096,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_4096
12479780,10818812,1.153525913935837,0,10830588,1.152271695682635,1.0,10818812,1.153525913935837,2166784,11654908,1.2238112818755216,9523452,0,47104,1.1360179061121956,9511676,1.3120484759993927,True,16,64,32,32,1000,2,25165824,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,explicit_state_tile_24mib
393063010,383524450,1.0248708002840496,0,383537698,1.0248353996221775,1.0,383524450,1.0248708002840496,19501056,397249378,1.0512926389017248,377867554,0,423936,1.0149705788182068,377854306,1.0402501804491808,True,16,64,32,32,1000,2,25165824,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,explicit_state_tile_24mib
12446000,10785032,1.1540067753160121,0,10796808,1.1527481085150353,1.0,10785032,1.1540067753160121,2166784,11621128,1.224607973805628,9489672,0,47104,1.1365020835282822,9477896,1.313160642404179,True,16,64,32,32,1000,2,33554432,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,explicit_state_tile_32mib
393012330,383473770,1.024874087215926,0,383487018,1.0248386817621034,1.0,383473770,1.024874087215926,19501056,397198698,1.0512995192480472,377816874,0,423936,1.014972586957564,377803626,1.0402555797598407,True,16,64,32,32,1000,2,33554432,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,explicit_state_tile_32mib
12386882,10725914,1.154855614169571,0,10737690,1.153589086665754,1.0,10725914,1.154855614169571,2166784,11562010,1.2260159901528584,9430554,0,47104,1.137357784070798,9418778,1.3151262297508233,True,16,64,32,32,1000,2,50331648,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,explicit_state_tile_48mib
392961650,383423090,1.024877375016721,0,383436338,1.024841964769651,1.0,383423090,1.024877375016721,19501056,397148018,1.0513064014404634,377766194,0,423936,1.0149745956357334,377752946,1.0402609805192624,True,16,64,32,32,1000,2,50331648,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,explicit_state_tile_48mib
12378436,10717468,1.1549776495717086,0,10729244,1.1537099911233262,1.0,10717468,1.1549776495717086,2166784,11553564,1.2262185914234904,9422108,0,47104,1.1374809119148284,9410332,1.3154090631446371,True,16,64,32,32,1000,2,67108864,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,explicit_state_tile_64mib
392885630,383347070,1.0248823083478895,0,383360318,1.024846890908516,1.0,383347070,1.0248823083478895,19501056,397071998,1.0513167281921398,377690174,0,423936,1.0149776096637346,377676926,1.0402690843760998,True,16,64,32,32,1000,2,67108864,2048,64,1560,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,explicit_state_tile_64mib
